stock_id,date,news_count,Close,next_day_return
2330,2026-08-27,11,2410.0,0.004149377593360981
2344,2026-08-03,1,143.0,0.09790209790209792
2344,2026-08-05,2,169.0,0.01183431952662728
2344,2026-08-06,2,171.0,-0.04385964912280704
2344,2026-08-10,3,179.5,-0.00835654596100277
2344,2026-08-11,1,178.0,-0.005617977528089901
2344,2026-08-12,1,177.0,0.0
2344,2026-08-13,6,177.0,0.03672316384180796
2344,2026-08-14,2,183.5,-0.010899182561307952
2344,2026-08-18,3,176.5,-0.04815864022662886
2344,2026-08-19,1,168.0,0.05059523809523814
2344,2026-08-20,2,176.5,0.025495750708215192
2344,2026-08-27,1,186.0,-0.024193548387096753
2356,2026-08-14,1,69.9000015258789,-0.04577974975368193
2357,2026-08-13,4,937.0,0.06296691568836721
2357,2026-08-14,1,996.0,-0.05823293172690758
2368,2026-08-12,1,1000.0,0.010000000000000009
2368,2026-08-13,1,1010.0,0.004950495049504955
2376,2026-08-03,1,324.5,0.023112480739599484
2376,2026-08-17,1,358.0,-0.027932960893854775
2382,2026-07-30,1,279.0,0.04480286738351258
2382,2026-08-11,1,315.5,0.031695721077654504
2382,2026-08-13,2,325.0,0.007692307692307665
2382,2026-08-26,1,332.5,0.003007518796992459
2383,2026-08-04,1,5116.63623046875,0.02042805947320092
2383,2026-08-06,1,5280.88623046875,-0.012252600609047093
2383,2026-08-10,1,5265.95458984375,0.04631377394311831
2383,2026-08-19,1,5853.27294921875,0.01785709667809887
2408,2026-08-03,1,396.5,0.09962168978562413
2408,2026-08-04,1,436.0,0.020642201834862428
2408,2026-08-05,2,445.0,0.03146067415730336
2408,2026-08-06,1,459.0,-0.004357298474945481
2408,2026-08-07,1,457.0,0.09846827133479219
2408,2026-08-10,6,502.0,-0.02589641434262946
2408,2026-08-11,1,489.0,-0.013292433537832271
2408,2026-08-12,5,482.5,0.06528497409326417
2408,2026-08-13,9,514.0,-0.0038910505836575737
2408,2026-08-14,4,512.0,0.0234375
2408,2026-08-17,1,524.0,-0.01717557251908397
2408,2026-08-18,5,515.0,-0.06601941747572815
2408,2026-08-19,2,481.0,0.07484407484407485
2408,2026-08-20,6,517.0,0.02127659574468077
2408,2026-08-24,1,501.0,0.017964071856287456
2408,2026-08-26,1,517.0,0.046421663442939964
2408,2026-08-27,4,541.0,-0.001848428835489857
2409,2026-08-17,2,27.25,-0.03302750893689077
2426,2026-08-19,1,68.0,0.10000004487879144
2454,2026-07-29,1,3150.0,0.026984126984126888
2454,2026-07-31,3,3555.0,0.09985935302391002
2454,2026-08-03,15,3910.0,-0.011508951406649648
2454,2026-08-04,3,3865.0,0.03492884864165591
2454,2026-08-05,4,4000.0,-0.020000000000000018
2454,2026-08-06,4,3920.0,-0.005102040816326481
2454,2026-08-07,2,3900.0,0.01538461538461533
2454,2026-08-11,7,4020.0,-0.0012437810945273853
2454,2026-08-12,2,4015.0,0.05230386052303859
2454,2026-08-13,1,4225.0,-0.0035502958579881616
2454,2026-08-14,2,4210.0,-0.038004750593824244
2454,2026-08-17,2,4050.0,-0.040740740740740744
2454,2026-08-18,2,3885.0,-0.01029601029601035
2454,2026-08-19,1,3845.0,-0.03771131339401823
2454,2026-08-20,3,3700.0,0.024324324324324298
2454,2026-08-21,1,3790.0,-0.006596306068601621
2454,2026-08-24,1,3765.0,-0.007968127490039834
2454,2026-08-26,3,3945.0,-0.020278833967046883
2464,2026-08-21,1,179.0,0.04748603351955305
2603,2026-08-13,1,215.5,0.016241299303944245
2603,2026-08-26,1,231.0,0.006493506493506551
